"REALINC","SEX","PRESTG80","RELIG","HRS1"
11490,"Male",32,"None",23
56405,"Female",36,"None",15
13579,"Female",22,"Protestant",30
22980,"Female",40,"Catholic",40
45959,"Female",51,"Catholic",40
22980,"Male",39,"Catholic",40
11490,"Female",31,"Protestant",40
31336,"Female",42,"Catholic",40
19846,"Female",24,"Protestant",40
11490,"Male",36,"Other",41
11490,"Female",42,"Protestant",40
90265,"Male",60,"Protestant",50
37603,"Male",51,"Protestant",70
7521,"Male",29,"None",40
37603,"Male",65,"Catholic",53
22980,"Male",49,"Catholic",40
19846,"Male",47,"None",40
9401,"Male",35,"Protestant",40
19846,"Female",31,"Protestant",40
7521,"Female",36,"Catholic",46
17757,"Female",31,"Protestant",40
27158,"Female",51,"Protestant",55
22980,"Female",60,"Protestant",40
37603,"Male",44,"Catholic",89
56405,"Male",51,"Protestant",50
13579,"Male",42,"Protestant",72
22980,"Male",49,"Protestant",80
90265,"Male",50,"Other",15
31336,"Male",48,"Protestant",40
37603,"Male",30,"Protestant",65
2925,"Female",41,"Protestant",40
17757,"Male",45,"Protestant",40
19846,"Female",51,"Protestant",40
56405,"Male",66,"Protestant",75
31336,"Male",45,"Protestant",68
13579,"Female",29,"Protestant",30
22980,"Female",50,"Catholic",40
19846,"Male",34,"Protestant",40
22980,"Female",43,"Catholic",40
22980,"Male",60,"Other",38
90265,"Male",49,"Protestant",40
4596,"Female",60,"Protestant",68
15668,"Female",49,"Protestant",8
13579,"Male",33,"Protestant",48
13579,"Male",22,"Protestant",51
19846,"Female",42,"Protestant",40
27158,"Male",40,"Protestant",50
27158,"Male",48,"Protestant",45
13579,"Female",32,"Catholic",35
31336,"Female",64,"Protestant",35
56405,"Female",41,"Protestant",60
56405,"Female",27,"Protestant",40
37603,"Male",40,"Protestant",45
11490,"Male",37,"Protestant",32
17757,"Female",47,"Protestant",18
31336,"Female",58,"Other",40
56405,"Female",64,"Catholic",35
27158,"Male",51,"Protestant",70
17757,"Female",36,"None",50
37603,"Male",30,"Protestant",60
27158,"Male",28,"Protestant",45
37603,"Female",39,"Protestant",25
27158,"Male",39,"Catholic",40
37603,"Male",31,"Catholic",58
37603,"Male",51,"Protestant",40
22980,"Male",42,"Protestant",45
45959,"Female",64,"Protestant",45
27158,"Male",35,"Protestant",50
31336,"Male",44,"Protestant",60
3760,"Male",22,"Protestant",29
31336,"Male",37,"Protestant",65
13579,"Female",24,"Protestant",44
27158,"Male",48,"Catholic",45
13579,"Male",50,"Protestant",50
22980,"Male",39,"Catholic",40
37603,"Female",57,"Protestant",40
19846,"Male",43,"Protestant",56
45959,"Male",66,"Catholic",60
9401,"Female",22,"Jewish",20
15668,"Male",49,"Other",61
22980,"Male",40,"Catholic",30
9401,"Female",64,"Protestant",89
31336,"Female",27,"Catholic",55
9401,"Female",23,"Protestant",40
15668,"Female",36,"Protestant",40
4596,"Female",36,"Protestant",40
19846,"Female",51,"Protestant",40
11490,"Male",42,"Protestant",40
4596,"Female",28,"Protestant",10
9401,"Male",31,"Catholic",35
22980,"Female",27,"Protestant",40
9401,"Female",44,"Protestant",35
4596,"Female",29,"Catholic",18
13579,"Male",44,"Protestant",50
56405,"Female",51,"Protestant",40
22980,"Female",54,"Protestant",50
11490,"Female",42,"Protestant",64
1671,"Female",58,"Protestant",12
22980,"Male",73,"Protestant",57
37603,"Female",59,"Protestant",50
31336,"Male",30,"Protestant",47
11490,"Male",48,"Protestant",84
37603,"Male",73,"Protestant",60
31336,"Female",51,"Protestant",47
17757,"Male",30,"Protestant",40
27158,"Female",61,"Protestant",40
27158,"Male",71,"Catholic",50
22980,"Female",64,"Protestant",40
45959,"Male",50,"None",46
56405,"Female",66,"Catholic",40
22980,"Female",42,"Protestant",43
22980,"Female",57,"Protestant",45
15668,"Female",50,"Protestant",45
13579,"Female",40,"Protestant",40
13579,"Male",45,"Protestant",40
27158,"Male",31,"Protestant",40
11490,"Female",52,"Protestant",40
22980,"Female",51,"Protestant",65
22980,"Female",46,"Protestant",40
19846,"Male",32,"Protestant",51
31336,"Male",36,"Protestant",50
45959,"Male",22,"Protestant",80
9401,"Female",28,"Protestant",40
56405,"Male",50,"Protestant",40
22980,"Female",47,"Protestant",45
13579,"Male",39,"Protestant",60
37603,"Male",51,"Catholic",40
90265,"Male",35,"Protestant",72
45959,"Male",60,"Protestant",40
90265,"Male",65,"Protestant",40
37603,"Male",41,"Catholic",45
22980,"Female",35,"Protestant",35
22980,"Male",42,"Protestant",40
17757,"Male",22,"Protestant",45
31336,"Female",75,"Protestant",25
31336,"Male",44,"Protestant",24
45959,"Male",44,"Protestant",65
56405,"Female",64,"Protestant",50
22980,"Male",30,"Protestant",40
27158,"Male",47,"Protestant",40
45959,"Male",51,"Protestant",40
37603,"Male",40,"Protestant",60
37603,"Female",46,"Protestant",30
37603,"Female",50,"Protestant",40
90265,"Male",61,"Protestant",50
27158,"Male",44,"None",60
37603,"Female",32,"Catholic",60
11490,"Male",31,"None",49
27158,"Female",47,"Protestant",50
37603,"Female",52,"None",40
45959,"Male",58,"Protestant",45
5432,"Female",34,"Protestant",5
90265,"Male",51,"Protestant",55
31336,"Male",35,"Protestant",40
15668,"Male",39,"None",18
37603,"Female",59,"Protestant",40
37603,"Female",43,"None",37
37603,"Female",45,"Protestant",40
22980,"Female",69,"Catholic",46
17757,"Male",22,"None",40
11490,"Female",51,"Protestant",60
22980,"Male",47,"Protestant",40
19846,"Male",40,"Protestant",8
45959,"Female",50,"Protestant",40
90265,"Male",43,"None",48
37603,"Male",72,"Protestant",40
31336,"Female",46,"Protestant",45
7521,"Male",31,"None",18
27158,"Female",42,"None",12
2925,"Male",42,"None",40
22980,"Male",25,"None",6
9401,"Female",29,"Catholic",40
22980,"Female",66,"Catholic",51
27158,"Male",24,"Protestant",40
27158,"Female",51,"Protestant",40
22980,"Male",44,"Catholic",40
56405,"Male",62,"Protestant",44
13579,"Female",46,"Protestant",29
27158,"Male",54,"Catholic",40
90265,"Male",33,"Catholic",28
22980,"Female",64,"Protestant",40
17757,"Male",31,"Catholic",40
37603,"Male",51,"Catholic",40
22980,"Female",66,"Catholic",40
37603,"Male",51,"Protestant",55
45959,"Female",51,"None",32
31336,"Male",47,"Catholic",40
45959,"Male",49,"None",60
27158,"Female",28,"Catholic",38
27158,"Female",31,"Protestant",9
3760,"Female",41,"Protestant",40
56405,"Female",51,"Protestant",36
5432,"Female",66,"Protestant",15
15668,"Male",29,"Catholic",40
37603,"Male",30,"Protestant",50
90265,"Female",63,"Catholic",40
15668,"Female",38,"Protestant",40
45959,"Male",65,"Protestant",8
90265,"Female",65,"Protestant",40
90265,"Female",51,"Catholic",50
90265,"Female",65,"Catholic",40
19846,"Female",46,"Protestant",32
90265,"Male",67,"Other",60
56405,"Male",54,"Protestant",50
90265,"Male",49,"Protestant",32
7521,"Male",30,"Catholic",40
2925,"Female",29,"None",36
7521,"Male",29,"Protestant",25
19846,"Male",52,"Protestant",54
7521,"Female",55,"Protestant",20
2925,"Male",23,"Protestant",20
27158,"Female",31,"Protestant",45
3760,"Male",19,"Protestant",35
22980,"Female",43,"Catholic",30
45959,"Female",47,"Protestant",40
37603,"Male",30,"Protestant",50
19846,"Male",51,"Protestant",40
31336,"Female",32,"None",30
17757,"Female",31,"None",35
17757,"Male",74,"None",40
27158,"Female",26,"Protestant",40
22980,"Female",43,"Protestant",40
45959,"Female",36,"Jewish",20
37603,"Female",73,"None",28
5432,"Female",29,"Protestant",36
45959,"Male",31,"Protestant",16
13579,"Female",52,"Protestant",40
31336,"Male",54,"Jewish",40
31336,"Male",56,"Protestant",40
13579,"Female",55,"Protestant",45
15668,"Male",40,"Protestant",55
27158,"Male",57,"None",40
27158,"Male",29,"Protestant",42
11490,"Female",42,"None",40
15668,"Female",43,"Protestant",40
27158,"Male",64,"Catholic",40
22980,"Female",46,"Protestant",25
37603,"Female",47,"Protestant",15
90265,"Female",64,"Protestant",34
56405,"Male",39,"Protestant",20
56405,"Male",42,"Protestant",40
56405,"Male",64,"Protestant",50
45959,"Female",64,"Protestant",60
7521,"Male",74,"Protestant",12
7521,"Female",46,"Protestant",20
9401,"Female",74,"Protestant",20
17757,"Female",29,"Protestant",10
45959,"Male",64,"Protestant",52
5432,"Male",60,"Protestant",35
27158,"Female",61,"Protestant",40
90265,"Male",68,"Protestant",45
56405,"Female",64,"Protestant",40
22980,"Female",66,"Catholic",32
22980,"Female",46,"Catholic",20
56405,"Female",51,"Protestant",38
56405,"Male",46,"Protestant",40
19846,"Male",35,"Protestant",50
19846,"Female",60,"Protestant",40
11490,"Male",19,"Catholic",40
27158,"Male",34,"Protestant",40
45959,"Male",66,"Protestant",70
37603,"Male",66,"Catholic",60
17757,"Female",51,"Catholic",40
37603,"Female",22,"Protestant",15
9401,"Male",50,"None",55
13579,"Female",22,"Protestant",59
27158,"Male",30,"Protestant",40
17757,"Female",44,"Protestant",60
2925,"Female",29,"Protestant",20
6267,"Male",30,"None",40
27158,"Female",28,"Catholic",13
45959,"Male",30,"Protestant",48
37603,"Male",43,"Protestant",44
56405,"Male",62,"Protestant",60
4596,"Female",28,"Protestant",25
45959,"Male",51,"Protestant",73
11490,"Female",28,"Catholic",40
13579,"Female",29,"Protestant",16
37603,"Female",34,"Catholic",48
37603,"Male",42,"Catholic",40
37603,"Female",19,"Protestant",60
27158,"Female",47,"Catholic",24
45959,"Male",51,"Protestant",40
15668,"Male",43,"Catholic",6
11490,"Male",66,"Protestant",30
13579,"Female",35,"Protestant",32
3760,"Female",27,"Protestant",20
37603,"Male",38,"Protestant",40
1671,"Male",44,"None",50
19846,"Male",66,"None",40
31336,"Male",44,"Protestant",60
15668,"Female",29,"Protestant",42
17757,"Female",30,"Protestant",32
19846,"Female",64,"Protestant",40
11490,"Male",40,"Protestant",75
45959,"Female",51,"Catholic",30
19846,"Male",54,"Catholic",50
19846,"Male",30,"Protestant",50
45959,"Female",42,"Catholic",16
45959,"Female",64,"Protestant",60
11490,"Female",43,"Protestant",48
45959,"Male",49,"Catholic",60
90265,"Female",60,"Protestant",40
11490,"Male",24,"Protestant",40
45959,"Female",33,"Protestant",11
27158,"Male",40,"Protestant",50
31336,"Male",48,"Protestant",68
13579,"Female",36,"Protestant",40
19846,"Female",52,"Protestant",30
22980,"Female",46,"Catholic",46
13579,"Male",51,"Protestant",20
9401,"Male",35,"Protestant",40
13579,"Female",32,"Protestant",10
31336,"Male",68,"Protestant",80
1671,"Female",27,"Protestant",32
9401,"Male",48,"Protestant",40
22980,"Female",38,"Protestant",20
31336,"Female",38,"Protestant",40
19846,"Female",61,"Catholic",50
31336,"Male",40,"Protestant",60
7521,"Male",32,"Protestant",35
45959,"Male",33,"Protestant",50
17757,"Male",40,"Protestant",50
11490,"Male",23,"Protestant",65
22980,"Male",60,"Protestant",45
11490,"Male",35,"Protestant",40
31336,"Female",66,"Protestant",56
45959,"Female",35,"Catholic",48
9401,"Female",28,"Protestant",32
19846,"Male",40,"Catholic",40
37603,"Female",42,"Catholic",40
37603,"Female",62,"Protestant",40
9401,"Female",41,"Protestant",10
19846,"Female",34,"Catholic",40
27158,"Male",23,"Catholic",60
22980,"Female",24,"Protestant",40
37603,"Female",34,"Protestant",23
15668,"Female",25,"Protestant",40
19846,"Female",28,"Protestant",40
19846,"Male",63,"Protestant",15
1671,"Male",31,"Protestant",20
22980,"Female",36,"Protestant",20
37603,"Male",66,"Protestant",52
56405,"Male",45,"Protestant",35
31336,"Female",40,"Protestant",44
56405,"Female",40,"Protestant",15
31336,"Female",51,"Protestant",40
37603,"Male",51,"Protestant",40
9401,"Female",37,"Protestant",40
22980,"Female",33,"Protestant",50
418,"Female",36,"Protestant",28
37603,"Female",40,"Protestant",45
11490,"Female",29,"Protestant",38
15668,"Female",43,"Protestant",40
9401,"Female",29,"Protestant",32
45959,"Male",51,"Protestant",55
4596,"Female",28,"Protestant",20
15668,"Male",33,"Protestant",56
45959,"Female",65,"Protestant",38
31336,"Male",74,"Protestant",56
17757,"Male",44,"Protestant",50
56405,"Male",74,"Protestant",50
31336,"Female",44,"Protestant",60
19846,"Female",64,"None",50
9401,"Female",52,"Protestant",40
17757,"Male",64,"Protestant",50
15668,"Male",21,"Protestant",75
7521,"Male",49,"Protestant",80
27158,"Male",44,"Catholic",84
22980,"Female",34,"Catholic",40
37603,"Female",29,"Protestant",40
17757,"Female",42,"None",48
6267,"Male",36,"Protestant",32
15668,"Female",31,"Protestant",35
31336,"Male",41,"Protestant",40
22980,"Male",40,"Protestant",42
6267,"Male",39,"Protestant",0
15668,"Male",49,"Protestant",50
13579,"Male",54,"Protestant",70
13579,"Male",49,"Catholic",40
9401,"Male",32,"Catholic",30
13579,"Female",47,"Protestant",40
37603,"Female",49,"Catholic",40
19846,"Male",36,"Protestant",50
3760,"Male",48,"Catholic",20
17757,"Male",39,"Protestant",34
27158,"Male",36,"Protestant",63
22980,"Female",48,"Catholic",40
56405,"Female",69,"Protestant",50
9401,"Female",47,"Protestant",31
31336,"Male",51,"Protestant",65
31336,"Female",51,"Catholic",36
13579,"Female",35,"Protestant",48
4596,"Female",66,"Protestant",32
3760,"Female",28,"Protestant",40
9401,"Female",51,"Protestant",45
6267,"Male",32,"Protestant",12
7521,"Female",28,"Protestant",18
13579,"Female",40,"Protestant",21
5432,"Female",31,"None",25
1671,"Female",29,"Protestant",10
13579,"Female",36,"Protestant",80
15668,"Male",36,"Protestant",16
5432,"Female",20,"Protestant",34
56405,"Male",59,"Protestant",60
15668,"Male",26,"Protestant",71
27158,"Female",56,"Protestant",30
37603,"Male",47,"Protestant",40
37603,"Female",64,"Protestant",40
1671,"Male",24,"Protestant",48
31336,"Female",33,"Protestant",40
37603,"Female",66,"Protestant",39
15668,"Female",28,"Protestant",40
11490,"Female",28,"Protestant",44
15668,"Female",50,"Protestant",40
15668,"Male",48,"Protestant",15
90265,"Male",48,"Protestant",12
13579,"Male",74,"Protestant",20
13579,"Male",30,"Catholic",35
3760,"Female",28,"Catholic",37
17757,"Female",55,"None",45
27158,"Female",46,"Protestant",17
90265,"Female",41,"None",50
31336,"Female",33,"Protestant",20
37603,"Male",30,"Protestant",40
1671,"Female",25,"Protestant",32
5432,"Female",30,"Protestant",30
37603,"Male",30,"Protestant",65
22980,"Female",29,"Protestant",30
37603,"Male",33,"Protestant",40
22980,"Female",33,"Protestant",40
19846,"Female",47,"Protestant",40
37603,"Female",64,"Other",40
22980,"Female",28,"Protestant",36
11490,"Male",37,"Protestant",40
19846,"Female",28,"Protestant",40
11490,"Male",35,"Protestant",4
45959,"Female",28,"Protestant",40
37603,"Female",34,"Protestant",47
37603,"Female",46,"Protestant",32
56405,"Male",30,"Protestant",80
22980,"Male",36,"Protestant",50
22980,"Female",44,"Protestant",47
13579,"Female",47,"None",20
9401,"Female",39,"Catholic",40
9401,"Male",39,"Protestant",40
45959,"Male",47,"Catholic",42
22980,"Male",66,"None",50
56405,"Female",45,"Protestant",37
37603,"Female",46,"Protestant",40
37603,"Female",29,"Protestant",40
9401,"Female",36,"Protestant",35
15668,"Female",64,"Catholic",40
13579,"Male",36,"Protestant",25
90265,"Male",40,"Protestant",40
13579,"Male",23,"Protestant",54
37603,"Male",36,"Protestant",45
27158,"Male",51,"Catholic",40
5432,"Female",42,"Catholic",9
4596,"Male",23,"Catholic",49
37603,"Male",38,"Protestant",40
45959,"Male",45,"Catholic",60
11490,"Male",36,"Catholic",30
45959,"Male",40,"Protestant",8
